Dossier,Guideline,PDF link,type of study,442C/MIE_reactivity class,442C/MIE_Mean of depletion (cystine/lysine) (%),442C/MIE_Mean of depletion (cystine) (%),442C/MIE_description of relevant observations related to the analysis,442C/MIE_homogeneity,442C/MIE_pH,442C/MIE_molecular weight,442C/MIE_composition,442C/MIE_purity (%),442C/MIE_solubility in vehicle,442C/MIE_solubility in water,442C/MIE_treatment prior to application,442C/MIE_chemical batch nr,442C/MIE_additional information,442C/MIE_deviations from guideline ,442C/MIE_HPLC analysis <30h,442C/MIE_type of HPLC,442C/MIE_columns,column temperature,detector,injection volumes,442C/MIE_flow rate,gradient,442C/MIE_concentrations tested,442C/MIE_purity,442C/MIE_supplier ,lot,442C/MIE_peptide concentration,442C/MIE_year,442C/MIE_GLP,442C/MIE_SCCS comment to test,442C/MIE_Ref. in dossier,442C/MIE_control,442C/MIE_storage condition,442C/MIE_additional information,442C/MIE_own comments,442D_max average luciferase activity (maximal induction),442D_mean cell viability /concentration,442D_EC 1.5 concentration,442D_IC50 cell viability concentration,442D_IC30 cell viability concentration,442D_conc. for maximal gene induction (CI max ),prediction outcome,442D_homogeneity,442D_pH,442D_concentration (%),442D_composition,442D_purity (%),442D_solubility in solvent,442D_chemical batch nr,additional info (free text),442D_deviation from guideline,442D_type,442D_medium,442D_cell passage number,442D_confluence,442D_cell density/well (96) fixed at 10000cells/well,442D_deviation from guideline,442D_lusens_type,442D_lusens_medium,442D_cell passage number,442D_confluence,442D_cell density/well (96) fixed at 10000cells/well,,442D_concentration ,442D_solvent,442D_luminometer,442D_duration of exposure (h),442D_Year,442D_GLP,442D_SCCS comment to test,442D_Ref. in dossier,442D_controls,442D_additional information,442D_own comments,442E_mean cell viability /concentration,442E_C75 value,442E_relative flurecent intensity (CD54),442E_relative flurecent intensity (CD86),442E_predicion outcome,442E_mean cell viability /concentration,442E_C70 value,EC150 CD86 stimulation index,442E_predicion outcome,442E_GAPLA,442E_IL8LA,442E_nIL8LA/GAPLA,442E_Ind-IL8LA,442E_Inh-GAPLA,442E_CV05,442E_predicion outcome,442E_homogeneity,442E_pH,concentration (%),442E_composition,442E_purity (%),442E_solubility in solvent,chemical batch nr,442E_additional info (free text),442E_deviation from guideline,442E_source,medium,442E_cell passage number,442E_cell density/well (24),442E_cell density/well (96),442E_deviation from guideline,442E_type,442E_medium,442E_cell passage number,442E_confluence,442E_cell density/well (96),442E_deviation from guideline,442E_type,medium,442E_cell passage number,442E_confluence,442E_cell density/well (96),442E_concentration,442E_solvent,442E_antibody,flow cytometer,442E_duration of exposure (h),442E_Year,442E_GLP,442E_SCCS comment to test,442E_Ref. in dossier,442E_additional information,442E_own comments,429_442A_442B_observations and recording of toxicity,429_442A_442B_stimulation index (SI),429_442A_442B_ATP measurments,429_442A_442B_relative luminecence units (RLU),429_442A_442B_BrdI labelling index,429_442A_442B_erythema scores,429_442A_442B_ear thickness,429_442A_442B_conclusion,429_442A_442B_homogeneity,429_442A_442B_pH,429_442A_442B_physical form,429_442A_442B_concentration (%),429_442A_442B_composition,429_442A_442B_purity (%),429_442A_442B_solubility in vehicle,429_442A_442B_chemical batch nr,429_442A_442B_additional info,429_442A_442B_species/strain,429_442A_442B_source,429_442A_442B_age at start of experiment,429_442A_442B_sex,429_442A_442B_feed,429_442A_442B_n animals / group,429_442A_442B_deviation from guideline,429_442A_442B_dose levels,429_442A_442B_volume,429_442A_442B_administration scheme,429_442A_442B_vehicle,429_442A_442B_year,429_442A_442B_GLP,429_442A_442B_SCCS comment to test,429_442A_442B_Ref. in dossier,429_442A_442B_control group,429_442A_442B_preliminary test,429_442A_442B_additional information,429_442A_442B_own comments,406_histopathological observations,406_first grading,406_second grading,rechallenge grading ,406_conclusion,406_outcome of test,406_homogeneity,406_pH,406_concentration (%),406_composition,406_purity (%),406_solubility in vehicle,406_chemical batch nr,406_additional info,406_species/strain,406_source,age at start of experiment,406_sex,406_feed,406_n animals / group,deviation from guideline,406_dose levels,intradermal injections,406_injection vehicle,406_patch site preparation,406_filter paper material and size,406_vehicle,,406_year,406_GLP,406_SCCS comment to test,406_Ref. in dossier,406_control group,406_preliminary study,406_additional information,406_own comments,non_oecd_histopathological observations,non_oecd_first grading,non_oecd_second grading,non_oecd_rechallenge grading ,non_oecd_conclusion,non_oecd_outcome of test,non_oecd_homogeneity,non_oecd_pH,non_oecd_concentration (%),non_oecd_composition,non_oecd_purity (%),non_oecd_solubility in vehicle,non_oecd_chemical batch nr,non_oecd_additional info,non_oecd_species/strain,non_oecd_source,non_oecd_age at start of experiment,non_oecd_sex,non_oecd_feed,non_oecd_n animals / group,non_oecd_deviation from guideline,non_oecd_dose levels,non_oecd_intradermal injections,non_oecd_injection vehicle,non_oecd_patch site preparation,non_oecd_filter paper material and size,non_oecd_vechicle,non_oecd_duration of application,non_oecd_application area,non_oecd_volume,non_oecd_occlusion,non_oecd_testing procedure,non_oecd_scoring times,non_oecd_additional info,non_oecd_induction of local irriation,non_oecd_year,non_oecd_GLP,non_oecd_SCCS comment to test,non_oecd_control,non_oecd_Ref. in dossier,non_oecd_additional information,non_oecd_own comments,,,,,,,,,,,,,
vetiveryl acetate ,OECD TG 429,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_167.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3 dead animal ( no gross lesions were found upon necropsy and the cause of dead was unknown), no erythema or oedema was noted in any of the mice at any time during the study. there were no statistically significant differences in mean body weights at day 1 and day 6 or in mean body weight changes. the lymph nodes from all mice treated with the test substance at 25% and with HCA at 35% were enlarged, but otherwise appeared normal. ","0, 1.59, 0.88, 2.00, 2.18, 15.93",,,,,,vetiveryl acetate exhibited a potential to induce dermal sensitisation in this murine local lymph node assay. these materials are considered weak to moderate dermal sensitisers. EC3: 10.9% (2722 μg/cm2),,,yellow liquid,"0, 1, 2.5, 5, 10, 25%",,,,9000669418,test substace: acet vetivenyl E 112 Extra,mouse/CBA/J,,,f,,5,"on day 6 intravenous injection in tail with 20 microCurie of radiolabelled 3H-thymidine in sterile saline.  the mice were killed by CO2 asphyxiation 5 hours later.  a single cell suspension was prepared by pooling the lymph nodes from each group. after washing twice with phosphate buffered saline, cells were precipitated overnight at 2-8°C with 5% trichloroacetic acid. incorporation of 3H-thymidine was measured in a β-scintillation counter. ",,,topical application once daily for three consecutive days ,diethyl phthalate/ethanol in a 3:1 ratio,2007,yes,moderate skin sensitisers,80,"the negative control groups were treated with the vehicle alone. a positive control, hexylcinnamaldehyde (HCA), was included in the llna with test substance D and was used at the positive control for the three other llna run concurrently with this study.  a very slight erythema on day 2 in one mouse treated with 35% HCA and on day 3 in all 5 mice treated with 35% HCA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vetiveryl acetate ,OECD TG 429,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_167.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"no erythema or oedema was noted in any of the mice at any time during the study,  there were no statistically significant differences in mean body weights at day 1 and day 6 or in mean body weight changes. the lymph nodes from all mice treated with the test substance at 25% and with HCA at 35% were enlarged, but otherwise appeared normal. ","0, 1.15, 1.49, 2.29, 2.23, 5.73",,,,,,vetiveryl acetate exhibited a potential to induce dermal sensitisation in this murine local lymph node assay. these materials are considered weak to moderate dermal sensitisers. EC3 : 13.3%(3325 μg/cm2) ,,,light yellow liquid,"0, 1, 2.5, 5, 10, 25%",,,,B,test substace: vetiveryl acetate EX Haiti Clos Ha,mouse/CBA/J,,,f,,5,"on day 6 intravenous injection in tail with 20 microCurie of radiolabelled 3H-thymidine in sterile saline.  the mice were killed by CO2 asphyxiation 5 hours later.  a single cell suspension was prepared by pooling the lymph nodes from each group. after washing twice with phosphate buffered saline, cells were precipitated overnight at 2-8°C with 5% trichloroacetic acid. incorporation of 3H-thymidine was measured in a β-scintillation counter. ",,,topical application once daily for three consecutive days ,diethyl phthalate/ethanol in a 3:1 ratio,2007,yes,moderate skin sensitisers,81,"the negative control groups were treated with the vehicle alone. a positive control, hexylcinnamaldehyde (HCA), was included in the llna with test substance D and was used at the positive control for the three other llna run concurrently with this study. a very slight erythema on day 2 in one mouse treated with 35% HCA and on day 3 in all 5 mice treated with 35% HCA. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vetiveryl acetate ,OECD TG 429,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_167.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1 dead animal ( no gross lesions were found upon necropsy and the cause of dead was unknown), no erythema or oedema was noted in any of the mice at any time during the study, there were no statistically significant differences in mean body weights at day 1 and day 6 or in mean body weight changes. the lymph nodes from all mice treated with the test substance at 25% and with HCA at 35% were enlarged, but otherwise appeared normal. ","0, 0.85, 0.93, 1.52, 1.12, 10.18",,,,,,vetiveryl acetate exhibited a potential to induce dermal sensitisation in this murine local lymph node assay. these materials are considered weak to moderate dermal sensitisers. EC3: 13.1% (3277 μg/cm2),,,yellow liquid,"0, 1, 2.5, 5, 10, 25%",,,,1590849,test substace: ROB HB,mouse/CBA/J,,,f,,5,"on day 6 intravenous injection in tail with 20 microCurie of radiolabelled 3H-thymidine in sterile saline.  the mice were killed by CO2 asphyxiation 5 hours later.  a single cell suspension was prepared by pooling the lymph nodes from each group. after washing twice with phosphate buffered saline, cells were precipitated overnight at 2-8°C with 5% trichloroacetic acid. incorporation of 3H-thymidine was measured in a β-scintillation counter. ",,,topical application once daily for three consecutive days ,diethyl phthalate/ethanol in a 3:1 ratio,2007,yes,moderate skin sensitisers,86,"the negative control groups were treated with the vehicle alone. a positive control, hexylcinnamaldehyde (HCA), was included in the LLNA with test substance D and was used at the positive control for the three other LLNA run concurrently with this study. a very slight erythema on day 2 in one mouse treated with 35% HCA and on day 3 in all 5 mice treated with 35% HCA.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trisodium nitrilotriacetat,non OECD,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_046.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no skin irritation,,,,50% substance formulation in distilled water,,92.4,,,,guinea pig,,,,,20,,50%,,,,,distilled water,,,0.5ml,,"3 induction treatments at day 0, 7 and 14 followed by the challenge",,,yes,1997,,,,4,"20 animals induced with NTA + 10 animals not-induced in control group, comment by EU : a positive control study was not performed within the study. the study shows a significant shortcoming: a 50% formulation of NTA was used for the dermal inductions (the test procedure was not valid, since a non-irritating substance formulation was used for dermal inductions). however, the prepared formulation did not cause any sign of skin irritation, which is a prerequisite when applying this method. in consequence, the negative result of this study cannot be used for risk assessment. ",,,,,,,,,,,,,,
trisodium nitrilotriacetat,non OECD,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_046.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no evidence of sensitization was noted in these volunteers,,,,1% aqueous solution of a liquid detergent containing 20% NTA,,,,,,human volunteers,,,,,66,,20%,,,,3/4 x 1 Webril padding ,,24hours,upper arm,0.5 ml,occluded with Elastoplast,"nine serial applications, three times a week of three consecutive weeks followed by a challenge two weeks after the last insult.",after 48 and 96 hours by trained observers,"challenge patches with the same concentration of the test material were placed on both the original site of insult and on an alternate site of the opposite arm, to aid the differentiation of skin fatigue and sensitization.",,1971,,"the negative data on patch tests with volunteers is not considered to be of sufficient evidence that the substance may not cause contact allergy to a sensitive subpopulation, since this study is based on a rather limited number of participants. on the other hand, there exist no human case reports which point to a potential of NTA to cause skin sensitisation. ",,5,"challenge patches with the same concentration of the test material were placed on both the original site of insult and on an alternate site of the opposite arm, to aid the differentiation of skin fatigue and sensitization. the negative data on this patch tests with volunteers, published in 1971, is not considered to be of sufficient evidence that the substance may not cause contact allergy to a sensitive subpopulation, since this study is based on a rather limited number of participants. on the other hand, there exist no human case reports which point to a potential of NTA to cause skin sensitisation",,,,,,,,,,,,,,
tetrabromophenol blue,OECD 429,https://ec.europa.eu/health/sites/health/files/scientific_committees/consumer_safety/docs/sccs_o_232.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"no mortality was observed during the study. there were no treatment-related clinical signs. there were no treatment-related effects on body weight or body weight gains. the positive control (p-phenylenediamine) induced a positive response, as it elicited at least a 3-fold increase in isotope incorporation relative to the vehicle. the mean stimulation index was 3.9 at the concentration of 1%. the test substance induced a negative response, as it did not elicit at least a 3-fold increase in isotope incorporation relative to the vehicle","0.6, 0.8, 1.0 and 1.1",,,,,,test substace is not a skin sensitiser,,,,,,96.7-98.8,,tbfb3/02/30,,mouse/cba/j ,,,f,,5,"volume : 25µl on the dorsal surface of each pinna, morbidity/mortality checks were generally performed twice daily. clinical examinations were performed daily. individual body weights were recorded on days -1 and 5.morbidity/mortality checks were generally performed twice daily. clinical examinations were performed daily. Individual body weights were recorded on days -1 and 5. all animals were sacrificed on day 5. The cell proliferation was assessed by measuring the 3H-methyl thymidine incorporation in the cell suspension prepared from the lymph node of each animal. ","0, 0.2, 0.5, 1.5 and 2%",,"daily on days 0,1 and 2",dmso,,yes,,5 (submission 1 and 2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"toluene-2,5-diamine and its sulfate",OECD 406,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_052.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mean stimulation indices (SI) of 4.4, 10.4 and 19.4 were obtained for the test concentrations of 0.5, 1.5 and 2.8%, respectively. no EC3 value was calculated, since all stimulation indices were above 3. The positive control (PPD 1% in AAOO) caused a stimulation index of 5.3.",,,,,99.5 area % (254 nm) and 99.7 area % (290 nm),,2346,"test substance: haarbraun, 2-methyl-1,4- benzenediamine sulphate",mice/CBA/ca01aHsd,,,f,,5,,"0(vehicle only), 0.5, 1.5 and 2.8%",,,25 µl topical application on the ear for 3 consecutive days,,aqua/acetone/olive oil (AAOO) 2:2:1,,,yes(in compliance),"lowest concentration used in this test was too high. In reference 24, the EC3 value should have been calculated by extrapolation, as in reference 22 (found to be 0.31%, indicating that the substance is a strong skin sensitiser). references 22 and 24 seem to use the same data, however with a different presentation.","22,23,24",,,"3 test groups, one positive control group and 1 negative control group with p-phenylenediamine 1% in AAOO as positive control. on day 5, the mice received an intravenous injection of 250 µl phosphate buffered saline containing 20 µCi of [3H]-methyl thymidine.  approximately five hours later, the mice were",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"sacrificed by CO2-inhalation and the draining auricular lymph nodes were removed. after preparing a single cell suspension for each mouse, cells were precipitated by TCA and the radioactivity was determined (incorporation of [3H]-methyl thymidine in the pellets) by means of liquid scintillation counting as disintegration per minute (dpm).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"toluene-2,5-diamine and its sulfate",OECD 406,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_052.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mean stimulation indices (SI) of 4.9, 4.2, and 3.7 were obtained for the test concentrations of 0.5, 1.5 and 5%, respectively. no EC3 value was calculated, since all stimulation indices were above 3. positive control (PPD 1% in DMSO) caused a stimulation index of 10.1 ",,,,,99.5 area% (254 nm) and 99.7 area% (290 nm),,2346,"test substance: haarbraun, 2-methyl-1,4-benzenediamine sulphate","mice, CBA/ca01aHsd",,,f,,5,,"0 (vehicle only), 0.5, 1.5 and 5.0%",,,25 µl topical application on the ear for 3 consecutive days,,DMSO,,,yes (in compliance),the lowest concentration used in this test was too high and therefore the study is inadequate.,25,,,"3 test groups, one positive control group and 1 negative control group with p-phenylenediamine 1% in DMSO as positive control. on day 5, the mice received an intravenous injection of 250 µl phosphate buffered saline containing 20 µCi of [3H]-methyl thymidine.  approximately five hours later, the mice were",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"sacrificed by CO2-inhalation and the draining auricular lymph nodes were removed. after preparing a single cell suspension for each mouse, cells were precipitated by TCA and the radioactivity was determined (incorporation of [3H]-methyl thymidine in the pellets) by means of liquid scintillation counting as disintegration per minute (dpm).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"toluene-2,5-diamine and its sulfate",/,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_052.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"although not performed according to guideline, PTD is an extremely potent skin sensitiser. cross-reactivity in animals induced with PTD occurs to PPD and PAB; and to PTD in animals induced with PPD.  contaminants in test substances were not analysed, conclusions concerning cross-reactivity remain limited.","100% of the animals induced with PTD (6/6) reacted at challenge with PTD, showing that the test substance was an extremely potent skin sensitizer. positive reactions were recorded in the animals induced with PTD at challenge also with PPD (5/6), PAP (3/6), PAB (5/6) and Sudan III (1/6), indicating cross-reactivity to these substances in animals induced with PTD. 100% of the animals induced with PPD (6/6) reacted at challenge with PTD, but none of the animals induced with PAP or PAB. results indicate cross-reactivity to PTD in animals induced with PPD.",,,,,PTD: 98%; PPD: 97%; PAP: 98%; PAB: 98%; Sudan III: 99%,,,test substances: p-toluenediamine 2HCl (PTD)/ p-phenylenediamine (PPD)/ p-aminophenol (PAP)/ p-aminobenzene (PAB)/Sudan III,guinea pig/hartley strain albino ,,,f,,6," the highest possible elicitation concentrations were not chosen, and that challenge was performed by open application and not closed.","0.001, 0.01 and 0.1%",,,,,in acetone or in acetone/distilled water,,,,open,"induction was performed according to the guinea pig maximisation test protocol by injections on day 0, and topical application on day 7 for 48 hours. challenge on day 21 by open application for 24 hours.","readings were made at 24, 48 and 72 hours after challenge application.",,yes,,no,,,26,"intradermal induction: 0.1% test substance in saline (PTD and PPD) or in olive oil (PAP, PAB, and Sudan III), and in Freund’s complete adjuvant (FCA)/saline; topical induction: 1% test substance in petrolatum, occluded; pre-treatment with 10% sodium lauryl sulfate in petrolatum. ",,,,,,,,,,,,,,
"toluene-2,5-diamine and its sulfate",/,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_052.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"it was reported that 40% of the animals reacted positively to toluene-2,5-diamine sulfate at challenge with 1%, and 10% at challenge with 0.10%.",,,,,,,,,"test substance: toluene-2,5-diamine sulfate",guinea pig/hartley albino ,,,,,10,,"0.01, 0.05, 0.1, 0.2, 0.5 and 1%",,,,,,topical induction: 1% in petrolatum,flank,,occluded,"topical induction was performed by occluded exposure for 48 hours on the nape, 3 times per week for two weeks. following a 2 week rest period, challenge was performed by occluded exposure for 48 hours on the flank.",at 24 and 48 hours after removal,,yes,,no,the results of the study are of limited use.,,27,"topical induction: 1% in petrolatum, occluded. ",,,,,,,,,,,,,,
"toluene-2,5-diamine and its sulfate",/,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_052.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7.5% were positive to toluene-2,5-diamine sulfate, 46% were positive to p-phenylenediamine, 5% to p-aminodiphenylamine, 3% to o-nitro-p- phenylenediamine. ",,,,,,,,,,human/ dermatitis patients (hairdressers),,,,,66,,,,,,,,,,,,north-American patch test standard series,,,,1973-1981,,"results from several diagnostic patch studies in dermatitis patients show a high rate of contact allergy to toluene-2,5-diamine and toluene-2,5-diamine sulphate. the highest rate was found in dermatitis patients being hairdressers (16.8%), followed by dermatitis patients selected due to symptoms or exposure related to cosmetics (9.5%), and unselected dermatitis patients (2.4%). the rate of contact allergy to toluene-2,5- diamine sulphate in hairdressers (not patients) was 2-2.7%.due to different selection criteria and different patch test substances used, conclusions cannot be drawn concerning the trend over time of contact allergy to toluene- 2,5-diamine and toluene-2,5-diamine sulphate. the results indicate that patch test reactivity is higher to toluene-2,5-diamine than toluene-2,5-diamine sulphate (particularly ref 69 Frosch).in all publications (except ref 71), results from patch testing with p-phenylenediamine is given and in several publications also results from tests with additional hair dye substances. in the majority of publications, the rate of contact allergy to p-phenylenediamine was the highest, followed closely by toluene-2,5-diamine, both generally much higher than to other hair dye substances. in some publications, the order between p-phenylenediamine and toluene-2,5-diamine was reversed.the results do not allow further conclusions concerning concomitant patch test reactions - whether they were the result of multiple sensitisation, or if the result of cross-reactivity to different compounds was due to chemical similarity. Conclusions concerning cross-reactivity require animal studies where induction and elicitation are controlled.",,63,,,,,,,,,,,,,,,
