dossier,OECD guideline,type of study,pdf link,clinical examination,microscopic finding,gross pathology,dose descriptor ,dose descriptor unit,moribund or dead animals prior to study termination ,mortality rate,conclusion,homogeneity and stability,treatment prior to application,pH,solid,solubility in vehicle,liquid,aerosol/dust/vapour,"particle size, shape and density distribution",concentration (% nominal and actual),composition,purity (%),chemical batch nr,additional info,species/strain,source,age value at start of experiment ,"age unit (day, week, month, year)","sex (female, male)",weight,"weight measuring unit (gram, kilogram)",feed,n animals / dose,dose levels,dose level unit ( or extra info),administration scheme,"oral (gavage, drink water, feed)",dermal,body surface area,"patching technique ( open, semi-occluded, occluded)",skin condition and region,"inhalation (nose (head) -only, whole body)",occular,other,dose volume ml/kg bw,rinsing procedure,use of anaesthetics and analgesics,vehicle name,vehicle concentration %,exposure time (hour),observation period (day),SCCS comment to test,year,control groups,GLP,preliminary test,Klimisch score,Ref. in dossier,additional information,own comments
butylphenyl methylpropional (p-bmhca) ,non OECD,in vivo ,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_189.pdf & https://ec.europa.eu/health/sites/health/files/scientific_committees/consumer_safety/docs/sccs_o_213.pdf,"clinical signs of toxicity as well as of irritation, i.e. dyspnoea, agitation, apathy, staggering, rough fur coat, lacrimation, poor general condition and slight erythema/oedema followed by desquamation were reversible within the observation period. ",,, > 2000,ld50 mg/kg bw/d,no,,dermal ld50 in rats was > 2000 mg/kg bw.,,,,,,,,,,test substance dissolved in the vehicle,,,test substance: bmhca,rat,,,,,,,,3,2000,mg/kg bw,single,,yes,,occlusive,,,,,,,,aqueous carboxymethyl cellulose,,,14,"acute toxicity after all relevant routes of application of bhmca was investigated in rats, mice and rabbits (oral, dermal, intraperitoneal, inhalation). the acute oral ld50 value in rats was determined to be 1390 mg/kg bw and the acute dermal ld50 value in rabbits >2000 mg/kg bw. thus the acute toxicity of p-bmhca can be considered moderate (oral route). an inhalation toxicity test in rats led to no mortalities but signs of systemic toxicity after exposure to a p-bmhca saturated atmosphere continued to be observed for 7 hours. however, the assessment of inhalation toxicity on the basis of this study is limited due to the low volatility of p-bmhca (vapour pressure: 0.0025 hPa at 20°C).",1979,,no,,,,guideline: / (basf se 1981; rifm#63831),
butylphenyl methylpropional (p-bmhca) ,non OECD,in vivo ,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_189.pdf &  &https://ec.europa.eu/health/sites/health/files/scientific_committees/consumer_safety/docs/sccs_o_213.pdf,no systemic clinical signs were observed. signs of irritation consisted of mild to moderate redness and oedema. ,,necroscopy showed mottled or yellow kidneys in two animals and sloughing skin in all animals. , > 2000,ld50 mg/kg bw/d,no,,ld50 in rabbits > 5000 mg/kg bw,,,,,,,,,,,,,,rabbit,,,,,,,,10,5000,mg/kg bw,single,,yes,,,,,,,,,,,,,14,"acute toxicity after all relevant routes of application of bhmca was investigated in rats, mice and rabbits (oral, dermal, intraperitoneal, inhalation). the acute oral ld50 value in rats was determined to be 1390 mg/kg bw and the acute dermal ld50 value in rabbits >2000 mg/kg bw. thus the acute toxicity of p-bmhca can be considered moderate (oral route). an inhalation toxicity test in rats led to no mortalities but signs of systemic toxicity after exposure to a p-bmhca saturated atmosphere continued to be observed for 7 hours. however, the assessment of inhalation toxicity on the basis of this study is limited due to the low volatility of p-bmhca (vapour pressure: 0.0025 hPa at 20°C).",1977,,no,,,"mb research laboratories, 1977, rifm#1695",,
butylphenyl methylpropional (p-bmhca) ,non OECD,in vivo ,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_189.pdf & https://ec.europa.eu/health/sites/health/files/scientific_committees/consumer_safety/docs/sccs_o_213.pdf https://ec.europa.eu/health/sites/health/files/scientific_committees/consumer_safety/docs/sccs_o_213.pdf,"clinical signs included erythema and thickened wrinkled skin, which persisted through day nine but declined thereafter. ",,gross pathology revealed no indication for systemic effects.,> 4700,ld50 mg/kg bw/d,no,,ld50 in rabbits > 4700 mg/kg bw,,,,,,,,,,,,,,rabbit,,,,f & m,,,,6,4700,mg/kg bw,single,,yes,,occlusive,shaved back,,,,5,,,,,24,14,"acute toxicity after all relevant routes of application of bhmca was investigated in rats, mice and rabbits (oral, dermal, intraperitoneal, inhalation). the acute oral ld50 value in rats was determined to be 1390 mg/kg bw and the acute dermal ld50 value in rabbits >2000 mg/kg bw. thus the acute toxicity of p-bmhca can be considered moderate (oral route). an inhalation toxicity test in rats led to no mortalities but signs of systemic toxicity after exposure to a p-bmhca saturated atmosphere continued to be observed for 7 hours. however, the assessment of inhalation toxicity on the basis of this study is limited due to the low volatility of p-bmhca (vapour pressure: 0.0025 hPa at 20°C).",1979,,yes,,,"cosmopolitan safety evaluation, 1979, rifm#15027",,
butylphenyl methylpropional (p-bmhca) ,non OECD,in vivo ,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_189.pdf & https://ec.europa.eu/health/sites/health/files/scientific_committees/consumer_safety/docs/sccs_o_213.pdf https://ec.europa.eu/health/sites/health/files/scientific_committees/consumer_safety/docs/sccs_o_213.pdf,"although no mortality, clinical signs of toxicity or organ findings were observed.",,,,,no,,,,,,,,,,,,,,,test substance: bmhca,rat / sprague-dawley,,,,f & m,,,,12,,atmosphere saturated with bmhca at 20°C for 7h,,,,,,,yes,,,inhalation for 7 hours at 20 °C,,,atmosphere,,7,14,"acute toxicity after all relevant routes of application of bhmca was investigated in rats, mice and rabbits (oral, dermal, intraperitoneal, inhalation). the acute oral ld50 value in rats was determined to be 1390 mg/kg bw and the acute dermal ld50 value in rabbits >2000 mg/kg bw. thus the acute toxicity of p-bmhca can be considered moderate (oral route). an inhalation toxicity test in rats led to no mortalities but signs of systemic toxicity after exposure to a p-bmhca saturated atmosphere continued to be observed for 7 hours. however, the assessment of inhalation toxicity on the basis of this study is limited due to the low volatility of p-bmhca (vapour pressure: 0.0025 hPa at 20°C).",1979,,no,,,,"guideline: / (bsf se 1981; rifm#63831), according to smyth et al., 1962",
butylphenyl methylpropional (p-bmhca) ,non OECD,in vivo ,https://ec.europa.eu/health/sites/health/files/scientific_committees/consumer_safety/docs/sccs_o_213.pdf &https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_189.pdf,,,,3700,ld50 mg/kg bw/d,yes,no deaths at 1220 mg/kg bw; one rat died at 2470 mg/kg bw and seven died at 5000 mg/kg bw. the highest dose was lethal for all animals. ,the acute oral toxicity (ld50) was 3700 mg/kg bw (95% confidence limits: 2600 – 5400 mg/kg bw).,,,,,,,,,,,,,,rat,,,,,,,,10,"1220, 2470, 5000, 10140",mg/kg bw,,,yes,,,,,,,,,,,,,14,"acute toxicity after all relevant routes of application of bhmca was investigated in rats, mice and rabbits (oral, dermal, intraperitoneal, inhalation). the acute oral ld50 value in rats was determined to be 1390 mg/kg bw and the acute dermal ld50 value in rabbits >2000 mg/kg bw. thus the acute toxicity of p-bmhca can be considered moderate (oral route). an inhalation toxicity test in rats led to no mortalities but signs of systemic toxicity after exposure to a p-bmhca saturated atmosphere continued to be observed for 7 hours. however, the assessment of inhalation toxicity on the basis of this study is limited due to the low volatility of p-bmhca (vapour pressure: 0.0025 hPa at 20°C).",,,no,,,"mb research laboratories, 1977, smi: 75, #1695",,
butylphenyl methylpropional (p-bmhca) ,non OECD,in vivo ,https://ec.europa.eu/health/sites/health/files/scientific_committees/consumer_safety/docs/sccs_o_213.pdf ,,,,1000-->2000,ld50 mg/kg bw/d,yes,one death in the 2 highest dose groups,the study findings suggested that the oral ld50 of p-bmhca in rats ranged between 1000 - 2000 mg/kg bw.,,,,,,,,,,test substance in the vehicle,,,test substance: p-bmhca,rat,,,,f & m,,,,2,"100, 500, 1000, 2000, 5000",mg/kg bw,,,yes,,,,,,,,,,vegetable oil,,,13,"acute toxicity after all relevant routes of application of bhmca was investigated in rats, mice and rabbits (oral, dermal, intraperitoneal, inhalation). the acute oral ld50 value in rats was determined to be 1390 mg/kg bw and the acute dermal ld50 value in rabbits >2000 mg/kg bw. thus the acute toxicity of p-bmhca can be considered moderate (oral route). an inhalation toxicity test in rats led to no mortalities but signs of systemic toxicity after exposure to a p-bmhca saturated atmosphere continued to be observed for 7 hours. however, the assessment of inhalation toxicity on the basis of this study is limited due to the low volatility of p-bmhca (vapour pressure: 0.0025 hPa at 20°C).",,,no,,,"bush boake allen, 1980a, smi: 18, #52291",,
butylphenyl methylpropional (p-bmhca) ,non OECD,in vivo ,https://ec.europa.eu/health/sites/health/files/scientific_committees/consumer_safety/docs/sccs_o_213.pdf,"lethargy and piloerection were observed in all doses. the mice exhibited prostration, irregular breathing and crusty eyes in the two highest dose groups. convulsions occured at 1000 mg/kg bw and all mice at this dose died by the third day of the study ",,,,,yes,all mice at the dose of 1000 mg/kg bw died by the third day of the study. no deaths occured in other dose groups. ,,,,,,,,,,,,,lot 9000349505,test substance : p-bmhca,mouse/ icr,,,,f & m,,,,10,"300, 500, 700, 1000",mg/kg bw,single,,,,,,,,intraperitoneal injection,,,,corn oil,,,3,"acute toxicity after all relevant routes of application of bhmca was investigated in rats, mice and rabbits (oral, dermal, intraperitoneal, inhalation). the acute oral ld50 value in rats was determined to be 1390 mg/kg bw and the acute dermal ld50 value in rabbits >2000 mg/kg bw. thus the acute toxicity of p-bmhca can be considered moderate (oral route). an inhalation toxicity test in rats led to no mortalities but signs of systemic toxicity after exposure to a p-bmhca saturated atmosphere continued to be observed for 7 hours. however, the assessment of inhalation toxicity on the basis of this study is limited due to the low volatility of p-bmhca (vapour pressure: 0.0025 hPa at 20°C).",,,yes,,,"rifm 2000b, smi: 91, #35691","range-finding part of a guideline (OECD 474, ICH) mouse micronucleus study",
butylphenyl methylpropional (p-bmhca) ,non OECD,in vivo ,https://ec.europa.eu/health/sites/health/files/scientific_committees/consumer_safety/docs/sccs_o_213.pdf,"unspecific signs in the form of dyspnea, apathy, staggering, spastic gait, rough fur coat and poor general condition were observed in both dose groups and body weight loss, abnormal position, twitching, tremor, tonic convulsions, skin erythema, and dehydration were found in the high-dose animals only. ",,,,,yes,half of the animals died in the 700 mg/kg bw dose group (4/5 males and 1/5 females) and no mortality was observed in the 200 mg/kg dose group. ,,,,,,,,,,,,,,test substance : p-bmhca,mouse /nmri,,,,f & m,,,,10,"200, 700",mg/kg bw,,,,,,,,,intraperitoneal injection,,,,carboxymethyl cellulose,,,14,"acute toxicity after all relevant routes of application of bhmca was investigated in rats, mice and rabbits (oral, dermal, intraperitoneal, inhalation). the acute oral ld50 value in rats was determined to be 1390 mg/kg bw and the acute dermal ld50 value in rabbits >2000 mg/kg bw. thus the acute toxicity of p-bmhca can be considered moderate (oral route). an inhalation toxicity test in rats led to no mortalities but signs of systemic toxicity after exposure to a p-bmhca saturated atmosphere continued to be observed for 7 hours. however, the assessment of inhalation toxicity on the basis of this study is limited due to the low volatility of p-bmhca (vapour pressure: 0.0025 hPa at 20°C).",,,yes,,,"basf se 1981, smi: 3, #63831",,
boron compounds: boron (acute oral toxicity),non OECD,in vivo ,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_027.pdf,,,,250-->650,LD50 mg/kg bw,,,,,,,,,,,,,,,,test compound: boron ,cat; dog; guinea pig; mouse; rabbit; rat,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,
boron compounds: boric aced (acute oral toxicity),non OECD,in vivo ,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_027.pdf,,,,3450,LD50 mg/kg bw,,,,,,,,,,,,,,,,test compound: Boric acid,mouse,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,
boron compounds (acute dermal toxicity),non OECD,in vivo ,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_027.pdf,,,,2660,LD50 mg/kg bw,,,,,,,,,,,,,,,,test compound: Boric acid,rat,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,
boron compounds (acute inhalation toxicity),non OECD,in vivo ,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_027.pdf,"Symptoms of acute effects may include nausea, vomiting, gastric discomfort, skin flushing, excitation, convulsions, depression and vascular collapse.",,,2-->3; 5-->6; 15-->30,LD50 g for infants; children; adults,,,"Acute adult quantitative dose response data range from 1.4 to 70 mg B/kg bw. In cases where ingestion was less than 3.7 mg B/kg bw, subjects remained asymptomatic.",,,,,,,,,,,,,,human ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
boron compounds (acute inhalation toxicity),non OECD,in vivo ,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_027.pdf,no deaths were obsereved,,,,,,,Low acute inhalation toxicity was observed in those borates tested.,the tested concentration was the highest attainable concentration,,,,,,,,,,,,test comound: boric acid,rat,,,,,,,,,2.12,mg/L (0.37 mg B/L),,,,,,,yes,,,,,,,,4h,,,,,,,,,,
Decamethylcyclopentasiloxane,non OECD,in vivo ,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_174.pdf,no mortality or signs of toxicity at 5000 mg/kg bw were observed in any of the tested animals. ,,,,,no,,SF1202 is considered non-toxic in rats at a dose of 5g/kg. ,,,,,,,,,,"Decamethylcyclopentasiloxane, Octamethylcyclotetrasiloxane, Other cyclo siloxanes"," > 95%,  < 5%,  < 3% ",SF1202,test substance: Decamethylcyclopentasiloxane,rat/Sprague Dawley,,,,f & m,,,,10,5000,mg/kg bw,,yes,,,,,,,,,,,no vehicle,,,,SCCS general conclusion on the acute oral toxicity of D5: the acute toxicity of d5 by oral route has not been studied following standardized guidelines. however based on the available data the acute toxicity of d5 by oral route seems to be very low and the ld 50 > 20 g/kg bw.,1990,,yes,,,9,,
Decamethylcyclopentasiloxane,non OECD,in vivo ,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_174.pdf,no mortality or signs of toxicity at doses up to 4800 mg/kg bw were observed in any of the tested animals. ,,,,,no,,the test article SF1202 is considered non-toxic in rats at a dose of 4.8 g/kg. ,,,,,,,,,,,,SF1202,test substance: decamethylcyclopentasiloxane,rat/Wistar,,,,f & m,,,,,5.0 (4800),ml/kg (mg/kg bw),,yes,,,,,,,,,,,,,,,SCCS general conclusion on the acute oral toxicity of D5: the acute toxicity of d5 by oral route has not been studied following standardized guidelines. however based on the available data the acute toxicity of d5 by oral route seems to be very low and the ld 50 > 20 g/kg bw.,,,,,,10,,"in the text it mentiones the test animals were SD male and females, SD standing for Sprague Dawley but in the resumé it says Wistar rat."
Decamethylcyclopentasiloxane,non OECD,in vivo ,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_174.pdf,A decreased motor activity within 4 hours of dosing was reported in one male and 3 females. two males and 3 females were reported to have salivated within the first hour following exposure.,,,>20000,LD50 mg/kg bw,no,,the LD50 of T7095 is above 20000 mg/kg bw. ,,,,,,,,,,,,T7095,test substance: decamethylcyclopentasiloxane,rat/sprague-dawley,,,,f & m,,,,10,20000,mg/kg bw,,yes,,,,,,,,,,,,,,,The acute toxicity of D5 by oral route has not been studied following standardized guidelines. However based on the available data the acute toxicity of D5 by oral route seems to be very low and the LD 50 > 20 g/kg bw.,1977,,,,,11,"in a published paper from carpenter (1974), a single oral ld50 for wistar rats of decamethylcyclopentasiloxane is reported to be above 64 ml/kg (61g/kg). ref.: 12",
Decamethylcyclopentasiloxane,non OECD,in vivo ,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_174.pdf,,,,> 64,LD50 ml/kg (61g/kg),,,"In a published paper from Carpenter (1974), a single oral LD50 for Wistar rats of Decamethylcyclopentasiloxane is reported to be above 64 ml/kg (61g/kg).",,,,,,,,,,,,,test substance: Decamethylcyclopentasiloxane,rat /Wistar,,,,,,,,,,,single,yes,,,,,,,,,,,,,,,this study is poorly described. moreover the sccs considers that the amount of d5 administered by the authors from reference 12 is too high to be achieved in a single dosage. sccs general conclusion on the acute oral toxicity of d5: the acute toxicity of d5 by oral route has not been studied following standardized guidelines. however based on the available data the acute toxicity of d5 by oral route seems to be very low and the ld 50 > 20 g/kg bw.,1974,,,,,12,Carpenter.,
Decamethylcyclopentasiloxane,non OECD,in vivo ,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_174.pdf,"no mortality occurred during either the 24-hour exposure period or the 14-day observation period that followed. no changes in behaviour or signs of systemic toxicity were observed at any time during the study. incidental observations of green mucoid faeces were noted. one rabbit did not eat during one day. on day 4, 1 rabbit with abraded skin had slight erythema. none of the rabbits had any signs of skin irritation at the test site throughout the study. there were no visible lesions in any of the rabbits at gross necropsy. ",,,,,no,,T7095 produced no lethal effects when applied to the back of rabbits as a single application of 2g/kg bw. no signs of toxicity were observed during a 14-day observation period. ,,,,,,,> 95,,,undiluted test substance ,,T7095,test substance: Decamethylcyclopentasiloxane,rabbit/New Zealand White,,,,f & m,,,,6,2,g/kg bw,"single application, undiluted t7095 was applied at the dose of 2 g/kg bw on the abraded skin of 1 male and 2 female rabbits and to the intact skin of 3 other animals (2 males and 1 female). the skin was then occluded during the 24h exposure period. ",,yes,back,occluded,"abraded skin (1 male and 2 females), the intact skin (2 males and 1 female). ",,,,,,,no vehicle,,24,14,"SCCS general conclusion on the acute dermal toxicity of D5: the acute toxicity of d5 by dermal route has not been studied following standardized guidelines. however based on the available data, the acute toxicity of D5 by dermal route seems to be low.",1977,,,,,13,"A short report from Ramm (1985) is also provided by the Applicant. However, this study is poorly described and the test compound is D4, not D5 under assessment in this dossier. Ref.: 14",
Decamethylcyclopentasiloxane,non OECD,in vivo ,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_174.pdf,,,,> 16 ,LD 50 ml/kg (15.3g/kg),,,"In a published paper from Carpenter et al. (1974), a single dermal LD50 for Wistar rats of Decamethylcyclopentasiloxane is reported to be above 16 ml/kg (15.3 g/kg).",,,,,,,,,,,,,test substance: Decamethylcyclopentasiloxane,rat /Wistar,,,,,,,,,,,single,,yes,,,,,,,,,,,,,,"This study is poorly described. SCCS general conclusion on the acute dermal toxicity of D5:The acute toxicity of D5 by dermal route has not been studied following standardized guidelines. However based on the available data, the acute toxicity of D5 by dermal route seems to be low. ",1974,,,,,12,Carpenter.,
HC Red n° 13,non OECD,in vivo ,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_040.pdf,"as substance-related effects lethargy, piloerection, diuresis and purple staining of the urine in all exposed groups were observed shortly after dosing, accompanied by ataxia in rats treated with 1000, 2500, or 4000 mg/kg bw and by increased lacrimation, decreased respiratory rate and purple staining of external extremities in rats treated with 2500 and 4000 mg/kg bw. fine body tremors were observed within two hours of treatment in male rats at 2500 mg/kg bw. During the first week of observation depressed body weight gains were noted in the surviving rats at 2500 mg/kg bw.",necropsy of mortalities revealed slight haemorrhage of the lungs and purple staining of all internal organs except the lungs. terminal autopsy findings of survivors showed no extraordinary results,,2120,LD50 mg/kg bw,yes,,LD50 was calculated to be 2120 (1810 - 2480) mg/kg bw. ,,,,,,"yes, suspension",,,10,hc red n° 13,not specified,not specified,,rat/CFY,,,,f & m,100-120,g,,10,"0, 1000, 1600, 2500, 4000",mg/kg bw,single,yes,,,,,,,,,,,"aqueous gum tragacanth containing sodium sulphite , pH 7.0","0.5%, 0.05%",,14,"despite the deficiencies of this study (purity and batch number unknown, not according to a guideline), it is useful for evaluation. ",,,no,,,15,Taken from opinion n° XXIV/1287/97 of 20 May 1998. autopsy of death was carried out for all rats that died. at the end the observation period all surviving animals were sacrificed and gross necropsies performed.,
HC Red n° 10 + HC Red n° 11,non OECD,in vivo ,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_064.pdf,,,,"1830, 2196; 1875, 1860","LD50 mg/kg bw  rat female, male; mouse female, male",,,,,,,,,test substance suspended in the vehicle,,,,"Rot Y : 51% HC Red n° 10, 46% HC Red n° 11 and 2% 5-chloro-2-nitro-p-phenylenediamine (Rot C)", /,L4/126,,rat/ Wistar;  mouse / CF 1 ,,,,f & m,,,,12;  20,"1.20, 1.80, 2.40, 3.00; 1.05, 1.80, 2.55, 3.30/  1.20, 2.40, 3.60; 1.00, 2.00, 3.00","g/kg bw, mouse in male; in female/ rat in male; in female",,yes,,,,,,,,,,,aqua dest.,,,14,,1984,,yes,,,13,,two species rat; mouse
